Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Pete Alonso,BAL,641,566,151,31,75,54,13,0.340094,0.4947
Brett Baty,NYM,482,434,109,19,60,42,4,0.321577,0.428571
Max Clark,DET,583,511,123,15,81,67,3,0.331046,0.377691
Agustín Ramírez,MIA,645,585,144,24,88,49,7,0.310078,0.430769
Wilyer Abreu,BOS,465,407,100,19,62,51,2,0.329741,0.444717
Daulton Varsho,HOU,452,410,93,22,63,34,4,0.290466,0.446341
Lawrence Butler,ATH,583,525,132,22,81,53,1,0.319588,0.438095
Jacob Reimer,NYM,545,480,113,17,78,47,14,0.319266,0.420833
Manny Machado,SDP,576,521,133,21,70,49,2,0.319444,0.424184
Carson Williams,TBR,565,508,113,21,73,48,5,0.294849,0.403543
Luke Keaschall,MIN,390,338,90,9,53,38,11,0.35641,0.41716
Jahmai Jones,BOS,373,320,81,11,53,40,10,0.3531,0.440625
Colson Montgomery,CHW,540,484,108,24,68,45,9,0.3,0.421488
Josh Naylor,SEA,573,515,141,20,65,47,5,0.336824,0.446602
Spencer Jones,NYY,541,488,118,26,81,46,4,0.310536,0.465164
Bo Naylor,MIL,432,378,84,16,54,47,2,0.309302,0.410053
Xavier Edwards,MIA,559,499,138,4,66,49,2,0.341155,0.354709
Jack Suwinski,TBR,475,407,94,26,64,57,6,0.331224,0.474201
Brice Matthews,HOU,517,454,105,18,66,52,8,0.319767,0.409692
Rafael Devers,SFG,650,561,140,27,84,79,6,0.346154,0.454545
Caleb Durbin,BOS,502,440,115,9,68,37,18,0.341365,0.395455
Kaelen Culpepper,MIN,525,477,119,15,67,36,12,0.318095,0.389937
Gleyber Torres,DET,610,530,136,16,75,69,4,0.343186,0.396226
Sal Frelick,MIL,563,508,138,9,72,44,6,0.335116,0.387795
Blaze Alexander,BAL,453,397,96,12,49,38,12,0.324444,0.387909
Sam Antonacci,CHW,535,447,111,5,74,49,30,0.359848,0.353468
Austin Wells,NYY,452,402,92,19,49,39,5,0.300885,0.425373
Kazuma Okamoto,TOR,482,423,105,19,53,48,8,0.334025,0.439716
Jazz Chisholm Jr.,NYY,541,476,113,25,71,56,5,0.322222,0.436975
Bryson Stott,PHI,553,492,126,12,67,51,2,0.324864,0.380081
Joe Mack,MIA,499,452,105,16,60,38,6,0.298597,0.389381
Sal Stewart,CIN,562,504,134,22,81,48,6,0.33452,0.454365
Jesus Rodriguez,SFG,523,473,129,6,59,41,6,0.33652,0.367865
Jace Jung,DET,544,471,108,17,64,67,3,0.327206,0.397028
Esteury Ruiz,MIA,488,425,107,11,69,43,14,0.338843,0.4
Seiya Suzuki,CHC,578,507,129,24,69,62,3,0.33564,0.457594
Ryan Waldschmidt,ARI,586,507,122,11,80,62,13,0.336177,0.366864
Owen Caissie,MIA,539,475,122,18,66,57,4,0.339518,0.437895
Samuel Basallo,BAL,518,468,114,25,64,42,5,0.310811,0.455128
Michael Arroyo,SEA,617,532,118,15,79,54,28,0.324149,0.359023
Dalton Rushing,LAD,392,337,77,16,49,42,10,0.329082,0.421365
Luis Robert Jr.,NYM,462,420,100,18,58,35,5,0.30303,0.414286
Brenton Doyle,CHW,501,461,115,16,63,31,3,0.298597,0.416486
Hao-Yu Lee,DET,543,485,117,13,70,45,9,0.314917,0.387629
Travis Bazzana,CLE,453,393,89,12,68,52,7,0.327434,0.381679
Spencer Torkelson,DET,639,560,136,31,86,67,7,0.328638,0.467857
Matt Olson,ATL,629,548,134,26,78,73,4,0.335453,0.44708
Nolan Gorman,STL,474,422,97,22,58,48,1,0.308017,0.436019
Ian Happ,CHC,602,522,125,20,74,72,4,0.333887,0.415709
Yainer Diaz,HOU,590,556,148,20,64,26,3,0.3,0.429856
Marcus Semien,NYM,513,457,108,14,68,47,4,0.309942,0.378556
Ronny Mauricio,NYM,469,435,105,16,55,29,4,0.294243,0.402299
Cole Young,SEA,565,496,118,12,66,55,8,0.322064,0.370968
Jett Williams,MIL,585,515,120,15,82,60,6,0.318493,0.405825
Josue Briceño,DET,481,423,98,16,62,49,5,0.316008,0.397163
Brandon Nimmo,TEX,567,498,122,17,69,54,10,0.328622,0.405622
Jonathan Aranda,TBR,449,392,105,15,59,45,8,0.351893,0.431122
Ben Williamson,TBR,532,485,127,6,63,37,7,0.322034,0.362887
